Link Page,Items,Price,Discount,Sale Price
https://www.modanisa.com/en/pistachio-green-modest-dress-instyle-8808689.html,Instyle - Pistachio Green - Modest Dress - InStyle,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/coral-floral-crew-neck-unlined-modest-dress-mustafa-dikmen-8131984.html,Mustafa dikmen - Rose Patterned Modest Dress Coral,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/gray-modest-dress-ceylan-otantik-8118939.html,Ceylan otantik - Gray - Modest Dress - Ceylan Otantik,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/mink-modest-dress-ceylan-otantik-8118945.html,Ceylan otantik - Mink - Modest Dress - Ceylan Otantik,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/pistachio-green-modest-dress-ceylan-otantik-8956524.html,Ceylan otantik - Pistachio Green - Modest Dress - Ceylan Otantik,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/purple-modest-dress-instyle-8808674.html,Instyle - Purple - Modest Dress - InStyle,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/salmon-crew-neck-unlined-modest-dress-instyle-8811073.html,Instyle - Salmon - Crew neck - Unlined - Modest Dress - InStyle,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/pink-button-collar-unlined-modest-dress-instyle-8813417.html,Instyle - Pink - Button Collar - Unlined - Modest Dress - InStyle,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/mink-modest-dress-ceylan-otantik-8156719.html,Ceylan otantik - Mink - Modest Dress - Ceylan Otantik,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/terra-cotta-modest-dress-in-style-8309939.html,Instyle - Terra Cotta - Modest Dress - In Style,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/milky-brown-button-collar-modest-dress-instyle-8729991.html,Instyle - Milky Brown - Button Collar - Modest Dress - InStyle,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/light-green-button-collar-unlined-modest-dress-instyle-8813424.html,Instyle - Light Green - Button Collar - Unlined - Modest Dress - InStyle,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/black-floral-crew-neck-unlined-modest-dress-mustafa-dikmen-8131985.html,Mustafa dikmen - Black - Floral - Crew neck - Unlined - Modest Dress - Mustafa Dikmen,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/khaki-unlined-modest-dress-ceylan-otantik-8487969.html,Ceylan otantik - Ceylan Otantik Khaki Modest Dress,$ 109.99,35%,$ 71.49
https://www.modanisa.com/en/black-modest-dress-ceylan-otantik-8118944.html,Ceylan otantik - Black - Modest Dress - Ceylan Otantik,$ 109.99,35%,$ 71.49
