Item,Price,ImageURL
Dell PowerEdge C6400 4-Node Server 24x SFF 2x PSU + 4x C6420 2x Intel XEON 3647 Scalable (8x CPU 64x DDR4) vmware Server -CTO-,"Price excl. VAT:724,37 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-c6400-4-node-server-chassis-24x-sff-2x-psu-4x-c6420-2x-intel-xeon-3647-scalable-8x-cpu-64x-ddr4-vmware-server-cto-.jpg
Dell M640 Blade Server 2x Intel Xeon Scalable FCLGA3647 DDR4 ECC Raid* 10GbE* VRTX or M1000e,"Price excl. VAT:245,38 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-m640-blade-server-2x-intel-xeon-scalable-fclga3647-ddr4-ecc-raid-10gbe-vrtx-or-m1000e.jpg
"Dell FX2s 4-Node Blade Server Chassis + 4x FC630 2x Intel XEON E5-2600 v3 v4 (8x CPU 64x DDR4) vmware Server -CTO- 2,5""","Price excl. VAT:689,92 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-fx2s-4-node-blade-server-chassis-4x-fc630-2x-intel-xeon-e5-2600-v3-v4-8x-cpu-64x-ddr4-vmware-server-cto-25.jpg
"Dell PowerEdge R830 19"" 2U 8x 2,5"" SFF 4x Intel XEON E5-4600 v3 v4 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:699,16 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r830-19-2u-8x-25-sff-4x-intel-xeon-e5-4600-v3-v4-ddr4-ecc-raid-2x-psu-server.jpg
"Dell PowerEdge R7425 2U Server 24x 2,5"" SAS 8x U.2 NVMe 2x AMD EPYC Gen1 DDR4 ECC Raid 2x PSU","Price excl. VAT:942,02 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r7425-2u-server-24x-25-sas-8x-u2-nvme-2x-amd-epyc-gen1-ddr4-ecc-raid-2x-psu-22863.jpg
"Dell PowerEdge R740 19"" 2U 8x 3,5"" LFF 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:1.085,71 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r740-19-2u-8x-35-lff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-server.jpg
"Dell PowerEdge R540 19"" 2U 12x 3,5"" LFF 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:581,51 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r540-19-2u-12x-35-lff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-server.jpg
"Dell PowerEdge R740xd 19"" 2U 28x 2,5"" SFF 2x Intel XEON Scalable LGA3647 DDR4 ECC Raid 2x PSU Server","Price excl. VAT:741,18 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r740xd-19-2u-28x-25-sff-2x-intel-xeon-scalable-lga3647-ddr4-ecc-raid-2x-psu-server.jpg
"Dell PowerEdge R820 19"" 2U 8x 2,5"" SFF 4x Intel XEON E5-4600 v1 v2 DDR3 ECC Raid 2x PSU Server -CTO-","Price excl. VAT:83,19 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-r820-19-2u-8x-25-sff-4x-intel-xeon-e5-4600-v1-v2-perc-sas-sata-raid-2x-psu-vmware-hyper-v-cto-.jpg
"Dell PowerEdge T340 8x 3,5"" LFF Intel XEON E-2200 DDR4 PERC Raid vmware Tower Server -CTO-","Price excl. VAT:707,56 €",https://www.serverschmiede.com/images/product_images/thumbnail/dell-poweredge-t340-8x-35-lff-intel-xeon-e-2200-ddr4-perc-raid-vmware-tower-server-cto--16093.jpg
